national_no,pokemon,type_1,type_2,hp,attack,defense,sp_atk,sp_def,speed,total
0001,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318
0002,Ivysaur,Grass,Poison,60,62,63,80,80,60,405
0003,Venusaur,Grass,Poison,80,82,83,100,100,80,525
0004,Charmander,Fire,NA,39,52,43,60,50,65,309
0005,Charmeleon,Fire,NA,58,64,58,80,65,80,405
0006,Charizard,Fire,Flying,78,84,78,109,85,100,534
0007,Squirtle,Water,NA,44,48,65,60,54,43,314
0008,Wartortle,Water,NA,59,63,80,65,80,58,405
0009,Blastoise,Water,NA,79,83,100,85,105,78,530
0010,Caterpie,Bug,NA,45,30,35,20,20,45,195
0011,Metapod,Bug,NA,50,20,55,25,25,30,205
0012,Butterfree,Bug,Flying,60,45,50,80,80,70,385
0013,Weedle,Bug,Poison,40,35,30,20,20,50,195
0014,Kakuna,Bug,Poison,45,25,50,25,25,35,205
0015,Beedrill,Bug,Poison,65,80,40,40,80,75,380
0016,Pidgey,Normal,Flying,40,45,40,35,35,56,251
0017,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349
0018,Pidgeot,Normal,Flying,83,80,75,70,70,91,469
0019,Rattata,Normal,NA,30,56,35,25,35,72,253
0020,Raticate,Normal,NA,55,81,60,50,70,97,413
0021,Spearow,Normal,Flying,40,60,30,31,31,70,262
0022,Fearow,Normal,Flying,65,90,65,61,61,100,442
0023,Ekans,Poison,NA,30,60,44,40,54,55,283
0024,Arbok,Poison,NA,60,85,69,65,79,80,438
0025,Pikachu,Electric,NA,35,55,30,50,40,90,300
0026,Raichu,Electric,NA,60,90,55,90,80,100,475
0027,Sandshrew,Ground,NA,50,75,85,20,30,40,300
0028,Sandslash,Ground,NA,75,100,110,45,55,65,450
0029,Nidoran♀,Poison,NA,55,47,52,40,40,41,275
0030,Nidorina,Poison,NA,70,62,67,55,55,56,365
0031,Nidoqueen,Poison,Ground,90,82,87,75,85,76,495
0032,Nidoran♂,Poison,NA,46,57,40,40,40,50,273
0033,Nidorino,Poison,NA,61,72,57,55,55,65,365
0034,Nidoking,Poison,Ground,81,92,77,85,75,85,495
0035,Clefairy,Normal,NA,70,45,48,60,65,35,323
0036,Clefable,Normal,NA,95,70,73,85,90,60,473
0037,Vulpix,Fire,NA,38,41,40,50,65,65,299
0038,Ninetales,Fire,NA,73,76,75,81,100,100,505
